"DE-38M","ZDB","5047663",,"Deutsche zahnärztliche Wochenschrift : Organ d. Deutschen Gesellschaft für Zahn-, Mund- und Kieferheilkunde","DE-82","67"
"DE-38M","ZDB","2059368","1615-0163","Zahnärztliche Rundschau : d. Blatt d. Praktikers für d. Zahnheilkunde u. ihre Grenzgebiete","DE-82","51"
"DE-38M","ZDB","2002358","0029-9642","Österreichische Zeitschrift für Stomatologie : Monatsschr. für wiss. u. prakt. Zahnheilkunde","DE-82","29"
"DE-38M","ZDB","10625707",,"Nurse education today","DE-B1509","27"
"DE-38M","ZDB","2002346","0175-7784","Zeitschrift für Stomatologie : Monatsschr. für wiss. u. prakt. Zahnheilkunde","DE-82","24"
"DE-38M","ZDB","10625707",,"Nurse education today","DE-601","23"
"DE-38M","ZDB","802104","0341-8995","Zahnärztliche Mitteilungen : ZM","DE-82","23"
"DE-38M","ZDB","25343518","1878-8750","World neurosurgery","DE-601","23"
"DE-38M","ZDB","2004458","0341-3098","Münchener medizinische Wochenschrift : MMW ; Organ für amtliche und praktische Ärzte","DE-361","22"
"DE-38M","ZDB","24959753","1867-6103","Zeitschrift für Komplementärmedizin","DE-2223","21"
"DE-38M","ZDB","20370684","1567-1348","Infection, genetics and evolution : journal of molecular epidemiolog","DE-601","20"
"DE-38M","ZDB","1253414",,"Beiträge zur klinischen Chirurgie","DE-361","20"
"DE-38M","ZDB","1931179",,"Clinics in plastic surgery","DE-576","19"
"DE-38M","ZDB","2124609","0011-8656","Das Dental-Labor : die ganze Welt der Zahntechnik : Exklusiv-Ausgabe für Abonnenten","DE-61","17"
"DE-38M","ZDB","605590-4",,"Patient education and counseling","DE-468","16"
"DE-38M","ZDB","2009948","0344-2926","Deutscher Zahnärzte-Kalender : das Jahrbuch der Zahnmedizin","DE-82","15"
"DE-38M","ZDB","801483","0020-7489","International journal of nursing studies = Journal international d'études sur les soins infirmiers","DE-361","14"
"DE-38M","ZDB","7171","0007-2680","Bruns' Beiträge zur klinischen Chirurgie","DE-361","14"
"DE-38M","ZDB","11571299","0287-0894","Iyakuhin-Kenkyu","DE-61","13"
"DE-38M","HBZ","HT006973971",,"General dentistry","DE-576","12"
"DE-38M","ZDB","1973083","0305-4179","Burns : including Thermal injury ; the journal of the International Society for Burn Injuries","DE-82","12"
"DE-38M","ZDB","6327709","0883-5403 ; 0886-5403","The journal of arthroplasty","DE-82","12"
"DE-38M","ZDB","31069",,"The journal of pharmacology and experimental therapeutics","DE-Bm3","12"
"DE-38M","ZDB","21710302",,"JAMDA : long-term care: management, applied research and clinical is","DE-601","12"
"DE-38M","ZDB","1241102","0025-8490","¬Der¬ medizinische Sachverständige","DE-604","11"
"DE-38M","ZDB","13771103","1422-2221","Suchtmagazin","DE-604","11"
"DE-5N","ZDB","2076809",,"Pedobiologia","DE-394","11"
"DE-38M","ZDB","4106866",,"Journal of nursing education","DE-B1509","11"
"DE-38M","ZDB","6450167","0029-6570","Nursing standard","DE-604","11"
"DE-38M","ZDB","2051631","0863-4904","Deutsche Stomatologie : Organ der Deutschen Gesellschaft für Stomatologie","DE-82","11"
"DE-38M","HBZ","HT013747004",,"International journal of palliative nursing","DE-576","10"
"DE-38M","HBZ","HT014053719",,"Thoracic surgery clinics","DE-576","10"
"DE-38M","ZDB","10997817",,"Clinical infectious diseases : an official publication of the Infect","DE-601","10"
"DE-38M","ZDB","5048436","0012-1029","Deutsche zahnärztliche Zeitschrift : DZZ ; Mitgliederzeitschrift der Deutschen Gesellschaft für Zahn-, Mund- und Kieferheilkunde e.V. = German dental journal","DE-38M","10"
"DE-38M","ZDB","20187890","1526-5900","¬The¬ journal of pain","DE-604","10"
"DE-38M","ZDB","22120191","1551-7136","Heart failure clinics","DE-601","10"
"DE-38M","ZDB","33066",,"The lancet","DE-601","10"
"DE-38M","ZDB","12224844",,"Oncology reports : an international journal devoted to fundamental a","DE-601","10"
"DE-38M","HBZ","HT007056275",,"American journal of critical care","DE-576","9"
"DE-38M","ZDB","10625707","0260-6917","Nurse education today","DE-929","9"
"DE-38M","ZDB","1354498","0165-0327","Journal of affective disorders : an official publication of the International Society for Affective Disorders, ISAD","DE-708","9"
"DE-5N","ZDB","7644401","0195-6663","Appetite : multidisciplinary research on eating and drinking","DE-465M","9"
"DE-38M","ZDB","28646472","2512-806X","Inklusive Medizin : Medizin für Menschen mit geistiger oder mehr","DE-601","9"
"DE-38M","ZDB","424428x","0161-6412","Neurological research : a journal of progress in neurosurgery and neurosciences","DE-82","9"
"DE-38M","ZDB","6391758","0891-4222","Research in developmental disabilities","DE-290","9"
"DE-38M","ZDB","1967393","0306-4522","Neuroscience","DE-82","9"
"DE-38M","ZDB","10230245","0941-5378","Psychoanalyse im Widerspruch","DE-601","8"
"DE-5N","ZDB","31069",,"The journal of pharmacology and experimental therapeutics","DE-Bm3","8"
"DE-38M","ZDB","1236039",,"Minerva chirurgica","DE-576","8"
"DE-38M","ZDB","1931416",,"Journal of nursing administration","DE-601","8"
"DE-38M","ZDB","2009353","0044-409X","Zentralblatt für Chirurgie : Zeitschrift für allgemeine, Viszeral-, Thorax- und Gefäßchirurgie","DE-361","8"
"DE-38M","ZDB","20585755",,"Nurse education in practice : NEP","DE-601","8"
"DE-38M","ZDB","2083498","0176-103X","Deutsche Monatsschrift für Zahnheilkunde : Organ des Zentralvereins Deutscher Zahnärzte und Organ der Gesellschaft Deutscher Naturforscher und Ärzte","DE-82","8"
"DE-38M","ZDB","21463864",,"British journal of community nursing","DE-601","8"
"DE-38M","ZDB","21710302","1525-8610","JAMDA : long-term care: management, applied research and clinical issues","DE-361","8"
"DE-38M","ZDB","22748611","1546-1440","Journal of the American College of Radiology : JACR","DE-601","8"
"DE-38M","ZDB","2816192",,"Bulletin de l'Académie Polonaise des Sciences","DE-394","8"
"DE-38M","ZDB","3035293","0140-1971","Journal of adolescence : JoA","DE-708","8"
"DE-38M","ZDB","4106866",,"Journal of nursing education","DE-2223","8"
"DE-38M","ZDB","604119x",,"The journal of foot surgery : official publ. of the American College","DE-601","8"
"DE-5N","ZDB","1114994-2",,"Gaia","DE-Dm13","8"
"DE-38M","ZDB","11191910",,"British journal of nursing : the fortnightly journal promoting excel","DE-601","8"
"DE-38M","HBZ","HT014012759","1545-9616","Journal of drugs in dermatology","DE-602","7"
